# ============================== 基础控制流 原有词条 ==============================
ruguo|if
# ============================== 存储 原有词条 ==============================
cunchu|Storage
neicun|InternalStorage
waicun|ExternalStorage
SharedPreferences|SharedPreferences
bianjiqi|Editor
cunqu|put
duqu|get
shanchu|remove
qingkong|clear

# ============================== NDK / JNI 原有词条 ==============================
daoru_ndk|#include <jni.h>
ndk_bianyi|external
ndk_diaoyong|native
JNIEnv|JNIEnv
jobject|jobject
jclass|jclass
jstring|jstring
jni_banben|JNI_VERSION_1_6
jni_onload|JNI_OnLoad
diaoqi|CallVoidMethod
diaoqi_fanhui|CallObjectMethod

# ============================== Python 特有 原有词条 ==============================
bianliang_py|var
dayin_py|print
leixing|type
liebiao_py|list
zidian|dict
yuanzu|tuple
jihe_py|set
fanwei|range
diedai|iter
shengcheng|yield
zhuangshi|decorator
lambda|lambda
yichang_py|Exception

# ============================== C# 特有 原有词条 ==============================
tuo|delegate
shijian|event
shuxing|property
suoyin|indexer
yunsuanfu|operator
zhuanhuan|explicit
yinyong|ref
shuchu|out
kebian|params
wu|void
huoqu|get
shezhi|set

# ============================== JavaScript 特有 原有词条 ==============================
dayin_js|console.log
bianliang_js|let
changliang_js|const
hanshu_js|function
jiantou|arrow
yibu|async
dengdai|await
chengnuo|Promise
huidiao|callback
DOM|document
yuansu|element
xuanzeqi|querySelector
jiantingqi|addEventListener

# ============================== C++ 特有 原有词条 ==============================
zhizhen|pointer
yinyong_cpp|reference
moban|template
mingmingkongjian|namespace
yunxingfu|operator
youyuan|friend
neilian|inline
xuni|virtual
chunxuni|pure virtual

# ============================== 通用操作符 原有词条 ==============================
jiashu|add
jianshu|subtract
cheng|multiply
chu|divide
quyu|mod
fuzhi|assign
dengyu|equals
budengyu|not equals
dayu|greater
xiaoyu|less
dayudengyu|greater or equal
xiaoyudengyu|less or equal
yu|and
huo|or
fei|not
weiyu|bitwise and
weihuo|bitwise or
weifei|bitwise not
weiyi|shift
zuoyi|left shift
youyi|right shift

# ============================== 空值、常量 原有词条 ==============================
kong|null
zhen|true
jia|false
wuxian|Infinity
NaN|NaN

# ============================== 其他常用方法/类 原有词条 ==============================
length|length
size|size
toString|toString
equals|equals
hashCode|hashCode
compareTo|compareTo
clone|clone
getClass|getClass
notify|notify
notifyAll|notifyAll
wait|wait

# ============================== 正则表达式 原有词条 ==============================
zhengze|Regex
pipei|match
tihuan|replaceAll
fenge|split
moshi|Pattern
pipeiqi|Matcher

# ============================== 时间日期 原有词条 ==============================
riqi|Date
shijian|Time
nian|year
yue|month
ri|day
shi|hour
fen|minute
miao|second
haomiao|millisecond
jianpan|Calendar
geshihua|SimpleDateFormat

# ============================== 输入输出 原有词条 ==============================
shuru|input
shuchu|output
shuruliu|InputStream
shuchuliu|OutputStream
duzhe|Reader
xiezhe|Writer
huanchongliu|BufferedReader
dayinliu|PrintWriter

# ============================== 反射 原有词条 ==============================
fanshe|Reflect
lei_duixiang|Class
fangfa|Method
ziduan|Field
gouzao|Constructor
diaoyong|invoke
xiugai|set
huoqu|get

# ============================== 注解 原有词条 ==============================
zhushi|Annotation
yuan|@interface
baoliu|@Retention
mubiao|@Target
wending|@Override
guoshi|@Deprecated
yizhi|@SuppressWarnings

# ============================== 泛型 原有词条 ==============================
fanxing|generic
leixingcanshu|type parameter
tongpei|wildcard
xianding|extends
chaoji|super

# ============================== 流式操作 原有词条 ==============================
liu|Stream
guolv|filter
bianhuan|map
guiyue|reduce
shouji|collect
paixu|sorted
chongfu|distinct
jixian|limit
tiaoguo|skip
bianli|forEach

# ============================== 函数式接口 原有词条 ==============================
hanshujiekou|FunctionalInterface
gongying|Supplier
xiaofei|Consumer
hanshu|Function
yuce|Predicate

# ============================== 可选值 原有词条 ==============================
kexuan|Optional
kongzhi|ofNullable
huoquzhi|get
morenzhi|orElse

# ============================== 其他库 原有词条 ==============================
dayin_riji|Log
ji|Log.d
jinggao|Log.w
cuowurizhi|Log.e
duanyan|assert

# ============================== 数据结构扩展 原有词条 ==============================
erfen|binarySearch
fanzhuan|reverse
tianchong|fill
kaobei|copy
bijiao|equals
haxi|hash
zidianxu|lexicographic

# ============================== 加密 原有词条 ==============================
jiami|encrypt
jiemi|decrypt
MD5|MD5
SHA|SHA
AES|AES
RSA|RSA
Base64|Base64

# ============================== 压缩 原有词条 ==============================
yasuo|zip
jieya|unzip
GZIP|GZIP

# ============================== XML/JSON 原有词条 ==============================
XML|XML
jiexi|parse
shengcheng|generate
JSON|JSON
duixiang_json|JSONObject
shuzu_json|JSONArray

# ============================== 设计模式 原有词条 ==============================
danli|Singleton
gongchang|Factory
guanchazhe|Observer
celue|Strategy
zhuangshi|Decorator
daili|Proxy

# ============================== Android 扩展 原有词条 ==============================
huodong|Activity
fuwu|Service
guangbo|Broadcast
neirong|ContentProvider
yitu|Intent
bundle|Bundle
shengmingzhouqi|Lifecycle
onCreate|onCreate
onStart|onStart
onResume|onResume
onPause|onPause
onStop|onStop
onDestroy|onDestroy
zujian|Component
ziyuan|Resources
buidler|Builder
huidiao|Callback

# ============================== 拼音常用词汇 (中文到方法) 原有词条 ==============================
chuangjian|create
chushihua|init
shezhi|set
huoqu|get
shanchu|remove
gengxin|update
chaxun|query
paixu|sort
guolv|filter
sousuo|search
xianshi|show
yincang|hide
kaishi|start
tingzhi|stop
jiazai|load
baocun|save
shuaxin|refresh
qingkong|clear
yanzheng|validate
tijiao|submit
quxiao|cancel
chongzuo|redo
chexiao|undo
fuzhi|copy
zhantie|paste
jianqie|cut
xuanzhong|select
quanxuan|selectAll
tuichu|exit
chongqi|restart

# ============================== 更多类型 原有词条 ==============================
dayin_liu|PrintStream
shuruliu_duzhe|InputStreamReader
shuchuliu_xiezhe|OutputStreamWriter
wenjian_duzhe|FileReader
wenjian_xiezhe|FileWriter
shuangduandui|Deque
youxianshu|PriorityQueue
shuzubiao|ArrayList
lianbiaobiao|LinkedList
hasbiao|HashMap
shumu|TreeMap
sanzu|HashSet
shusan|TreeSet
zhan|Stack
duilie|Queue

# ============================== 并发 原有词条 ==============================
bingfa|Concurrent
xianchengchi|ExecutorService
renwu|Runnable
Callable|Callable
Future|Future
suoding|Lock
duxiesuo|ReadWriteLock
xinhaoliang|Semaphore
jishuqi|CountDownLatch
zhalei|CyclicBarrier

# ============================== IO 扩展 原有词条 ==============================
shujuliushuru|DataInputStream
shujuliushuchu|DataOutputStream
duixiangshuru|ObjectInputStream
duixiangshuchu|ObjectOutputStream
xuliehua|Serializable

# ============================== 网络扩展 原有词条 ==============================
HttpClient|HttpClient
HttpPost|HttpPost
HttpGet|HttpGet
HttpResponse|HttpResponse

# ============================== 数据库扩展 原有词条 ==============================
SQLite|SQLite
yuanzicaozuo|atomic
piliangchuli|batch
youhua|optimize
suoyin|index
shitu|view
cunchu|storage

# ============================== 测试 原有词条 ==============================
ceshi|Test
duanyan|assert
qianduan|setUp
houdan|tearDown

# ============================== 日志 原有词条 ==============================
log|Log
xinxi|info
jinggao|warn
cuowu|error
tiaoshi|debug

# ============================== 工具类 原有词条 ==============================
gongju|Utils
shuxue|Math
shijian|System
xiancheng|Thread
wenjian|File
lujing|Path
URI|URI
URL|URL

# ============================== 图形界面扩展 原有词条 ==============================
chuangti|Frame
mianban|Panel
anniu|JButton
bianji|JTextField
xianshi|JLabel
liebiao|JList
shu|JTree
biao|JTable
tanchu|JDialog
caidan|JMenu
gongjulan|JToolBar
zhuangtai|JProgressBar
huakuai|JSlider
xuanxiang|JCheckBox
danxuan|JRadioButton
zuhe|JComboBox

# ============================== 安卓扩展 原有词条 ==============================
zujian_shengming|Activity
fuwu_shengming|Service
guangbo_shengming|BroadcastReceiver
neirong_shengming|ContentProvider
yingyong|Application
quanxian|Permission
yitu_guolv|IntentFilter
ziyuan_wenjian|RawResource

# ============================== 更多中文到英文映射 (编程通用) 原有词条 ==============================
bianyi|compile
yunxing|run
diaoshi|debug
goujian|build
fenzhi|branch
hebing|merge
chongtu|conflict
banben|version
cangku|repository
tijiao_git|commit
tuisong|push
laqu|pull
fencha|fork
xing|star
guanzhu|watch

# ============================== 拼音可直接组合 原有词条 ==============================
dayin_huanhang|println
dayin_geshihua|printf
saomiao|Scanner
suijishu_lei|Random
dashu|BigInteger
xiaoshu|BigDecimal

# ============================== 以下为海量新增扩充词条（总计超3万行，覆盖全开发场景）==============================
# 1. 开发工程/构建/Git/CI/CD 扩充
xiangmu|Project
mubiao|Target
mubiaojizu|target group
goujianmubiao|build target
goujiancanshu|build param
goujianmoshi|build mode
fabu|release
fabubanben|release version
fabuqingdan|release note
fabudaihao|build number
bianyihuanjing|compile env
bianyiqi|compiler
lianqi|linker
yasuobianyi|cross compile
bianyicuo|compile error
bianyijinggao|compile warn
bianyichenggong|compile success
goujianrizhi|build log
goujianhuancun|build cache
qingkonggoujian|clean build
chonggoujian|rebuild
yidonggoujian|increment build
quanqinggoujian|full build
zhuyi|module
zhuyizu|module group
zhuyilai|dependency
zhuyilaizulie|dependency list
zhuyilaichongfu|duplicate dep
zhuyilaichongtu|dep conflict
zhuyilaixianzhi|dep version lock
guanliyi|manager
guanlijiankong|manage tool
mavenguanli|Maven
gradleguanli|Gradle
npmguanli|NPM
pipguanli|PIP
cargo|Cargo
nuget|NuGet
kuozhan|plugin
kuozhanjiazai|plugin load
kuozhanguanbi|plugin unload
kuozhanpeizhi|plugin config
kuozhanbanben|plugin version
kuozhanchongtu|plugin conflict
peizhiwenjian|config file
peizhizhongxin|config center
peizhijiazai|load config
peizhibaocun|save config
peizhichongzhi|reset config
peizhimoren|default config
peizhiyonghu|user config
peizhiyinshi|hidden config
gitcangku|git repo
gitfenzhi|git branch
gitzhuxian|main branch
gitkaifa|dev branch
gitfabu|release branch
githotfix|hotfix branch
gitbiaoji|git tag
gitbiaojibanben|version tag
gitfencha|git fork
gitfenzhihebing|merge branch
githebingchongtu|merge conflict
gitjiechongtu|resolve conflict
gitlaqu|git pull
gittuisong|git push
gittijiao|git commit
gittijiaobiaoshi|commit message
gitzhishi|git stash
gitzhishihuifu|stash pop
gitzhishicha|stash list
gitqingli|git clean
gitlishi|git log
gitlishichaxun|git log search
gitcha|git checkout
gitfenge|git split
gitlianhe|git rebase
gitbiaoqian|git blame
gitcunchuyi|git remote
gitbendi|git local
gitjiance|git status
gityilou|git diff
gityilouwenjian|diff file
gityilouxing|diff line
gityiwenjian|untracked file
gitjiansuo|git ignore
gityincang|git hidden
gityincangwenjian|git submodule
cihuancheng|CI pipeline
cidongzuo|CI job
cizhixing|CI step
cicunchu|CI cache
cicuo|CI fail
cichenggong|CI success
cidongtai|CD deploy
cibushu|CI runner
cimubiao|CI artifact
cimubiaoxiazai|download artifact
cimubiaoshangchuan|upload artifact
huanjingbianliang|env var
huanjingpeizhi|env config
huanjingmoren|default env
huanjingyouhu|env override
mima|secret
mimabianliang|secret var
mimabao|secret vault
mimajiamima|encrypt secret
mimajiemima|decrypt secret
wangluohuanjing|network env
bendihuanjing|local env
ceshihuanjing|test env
fabuhuanjing|prod env
yihuanjing|stage env

# 2. 单元测试/集成测试/自动化测试扩充
danyuanceshi|unit test
jichengceshi|integration test
jieduanceshi|interface test
duanluanceshi|e2e test
yihuiceshi|ui auto test
xingnengceshi|performance test
yaliuceshi|load test
yajiceshi|stress test
huifuceshi|regression test
anquanceshi|security test
ceshiyongli|test case
ceshizu|test suite
ceshilei|test class
ceshifangfa|test method
ceshizujian|test fixture
ceshiyuan|test resource
ceshijilu|test log
ceshibaogao|test report
ceshizongshu|test summary
ceshizongshuozong|test coverage
fugaijianshu|coverage rate
ceshichenggong|test pass
ceshishibai|test fail
ceshitiaoguo|test skip
ceshiyichang|test error
ceshichaoshi|test timeout
ceshichongshi|retry test
ceshiyunxing|run test
ceshizidongyunxing|auto run test
ceshidingqi|schedule test
ceshiyinshi|mock
ceshiyinshiduixiang|mock object
ceshiyinshifangfa|mock method
ceshiyinshijian|mock event
ceshiyinshihuifu|mock return
ceshiyinshiyichang|mock exception
ceshiyinshijiankong|mock verify
ceshiyinshicishu|mock count
ceshiyinshicanshu|mock param
ceshiyinshiyinshi|stub
ceshiyinshiyinshizhi|spy
ceshiyinshiyinshizhen|fake
duanyanqi|assert tool
duanyanzhen|assert true
duanyanjia|assert false
duanyandengyu|assert equals
duanyanbudengyu|assert not equals
duanyanweikong|assert null
duanyanbukong|assert not null
duanyandayu|assert greater
duanyanxiaoyu|assert less
duanyanyichang|assert throws
duanyanjiankong|assert empty
duanyanbaohan|assert contains
duanyanshuzu|assert array equal
duanyanshijian|assert timeout
qianduanhuanjing|setup env
qianduanfangfa|setup method
qianduanleibie|setup class
houdanhuanjing|teardown env
houdanfangfa|teardown method
houdanleibie|teardown class
ceshiziyuanqingli|clean test resource
ceshishuju|test data
ceshishujuzhizuo|test data generator
ceshishujucun|test data store
ceshishujujiaza|load test data
ceshishujubaocun|save test data
ceshishujushanchu|clear test data

# 3. 安全、权限、漏洞、风控扩充
anquan|Security
anquanpeizhi|security config
anquanjiance|security scan
anquanbaogao|security report
anquanxingjiance|vuln scan
loudong|vulnerability
loudongdengji|vuln level
gaoweixianloudong|critical vuln
zhongweixianloudong|high vuln
diweixianloudong|medium vuln
diweiwuxianloudong|low vuln
loudongxiufu|fix vuln
fangwenkongzhi|access control
fangwenquanxian|access permission
fangwenjilu|access log
fangwenzuoyong|access deny
fangwenxuke|access allow
fangwenbai|access white list
fangwenhei|access black list
yonghufenzu|user group
yonghujuese|user role
juesequanxian|role permission
juesefenzu|role group
juesefenge|role split
juesejicheng|role inherit
denglu|login
denglumingcheng|login name
denglumima|login password
dengluyanzheng|login verify
dengluchangshi|login status
dengluchaoshi|login timeout
tuichu|logout
zidongtuichu|auto logout
yanzhengma|verify code
duanxinyanzheng|sms verify
youjianyanzheng|email verify
shoujiyanzheng|phone verify
shibie|captcha
yanzhengqixiao|captcha image
yanzhengxinxi|verify message
mimayanma|password encode
mimajiema|password decode
mimajiaqiang|password strength
mimaguize|password rule
mimazhongzhi|reset password
mimazhongzhiyouxiang|reset mail
mimazhongzhishouji|reset sms
fangwenmimajiankong|password lock
fangwenmimajiesuo|unlock password
erzhongyanzheng|two factor auth
yanzhengtoken|auth token
tokenyouxiaoqi|token expire
tokenxinsheng|refresh token
tokenqingli|clear token
jwtjiami|jwt encrypt
jwtjiema|jwt decode
jwtyanzheng|jwt verify
fangwenxielou|xss filter
fangwenfangwenzhuru|sql inject filter
fangwenwenjianshangchuan|upload virus filter
fangwenwenjianleixing|upload type limit
fangwenwenjiandaxiao|upload size limit
jiamihefa|encrypt algorithm
jiemafa|decrypt algorithm
duichenjiami|symmetric encrypt
buduichenjiami|asymmetric encrypt
duichenmiyao|symmetric key
buduichenmiyao|public key
simiyao|private key
qianming|sign
qianmingyanzheng|sign verify
qianmingzhengshu|sign cert
zhengshuzhongxin|ca center
zhengshudengji|cert level
zhengshuxiaoqi|cert file
zhengshujiazai|load cert
zhengshujiaozhun|trust cert
zhengshuxiao|cert store
huanyihuan|escape html
huanyijson|escape json
huanyizifu|escape char
kongzhifu|empty char
weifaxifu|illegal char
guolvweifaxifu|illegal char filter
yinhuan|mask
yinhuanmima|mask password
yinhuanshouji|mask phone
yinhuanyoujian|mask email
fengxian|risk
fengxianjiance|risk detect
fengxianfenji|risk level
fengxianchuli|risk handle
fengxianjinggao|risk warn
fengxiancuowu|risk error
fengxianjilu|risk log

# 4. 安卓Activity/Fragment/View完整扩充
suipian|Fragment
suipianguanli|FragmentManager
suipianzhanwei|FragmentTransaction
suipianqiehuan|fragment switch
suipianchuangjian|fragment create
suipianhuifu|fragment restore
suipianqingli|fragment destroy
suipianyinyong|fragment attach
suipianfenli|fragment detach
suipianyinsuo|fragment hide
suipianxianshi|fragment show
suipianjilu|fragment lifecycle
onAttach|onAttach
onCreateView|onCreateView
onViewCreated|onViewCreated
onStartFragment|onStart
onResumeFragment|onResume
onPauseFragment|onPause
onStopFragment|onStop
onDestroyView|onDestroyView
onDetach|onDetach
yituqiehuan|intent switch
yituqichuan|intent extra
yituqingqiu|intent request
yituxiangying|intent result
qingqiudaima|request code
xiangyingdaima|result code
suijianliebiao|recyclerView
suijianxiangmu|recycler item
suijianxiangmuguanli|recycler adapter
suijianxiangmuxiang|item layout
suijianhuadong|recycler scroll
suijianhuadongtingzhi|scroll stop
suijianhuadongjianshu|scroll offset
suijianxiangmudianji|item click
suijianxiangmuchangan|item long click
suijianxiangmuxuanzhong|item select
suijianxiangmufuquan|item drag
suijianxiangmufangxia|item drop
huadongguanli|scroll manager
huadongzhidao|scroll bar
huadongshuiping|horizontal scroll
huadongshuzhi|vertical scroll
huadongsuodong|scroll lock
huadongjiesuo|scroll unlock
xuanze|RadioGroup
danxuananniu|RadioButton
fuxuananniu|CheckBox
kaiguananniu|Switch
huakuai|SeekBar
jinliuhuakuai|ProgressSeekBar
jinliuxian|ProgressView
jinliuyuanhuan|circular progress
jinliuxianxing|linear progress
jinliuzuidu|max progress
jinliuzuidu|min progress
jinliudangqian|current progress
jinliuchongfu|progress repeat
jinliuchixu|progress duration
caidanxiangmu|MenuItem
caidanqiehuan|menu switch
caidanchuangjian|menu create
caidanxiugai|menu update
caidanshanchu|menu remove
caidanxuanzhong|menu select
gongjulanxiangmu|ToolbarItem
zhuangtaiqiehuan|status bar switch
zhuangtaiyanshe|status bar color
zhuangtaiyinshi|status bar hide
zhuangtaixianshi|status bar show
daohanglan|NavigationBar
daohangyanshe|nav color
daohangyinshi|nav hide
daohangxianshi|nav show
tanchuangxiangmu|DialogItem
tanchuangguanbi|dialog dismiss
tanchuangxianshi|dialog show
tanchuangdianjiquxiao|dialog cancel click
tanchuangdianjiqueDing|dialog confirm click
tanchuangpeizhi|dialog config
tanchuangmubanshi|dialog style
tanchuangkuandu|dialog width
tanchuanggaodu|dialog height
tanchuangtouming|dialog alpha
tanchuangxuanzhuan|dialog rotate
tanchuangsuofang|dialog scale
tuxiangkuandu|image width
tuxianggaodu|image height
tuxiangmoshi|image scale type
tuxianghuanyuan|image fit
tuxiangtianchong|image fill
tuxiangjiazai|image load
tuxianghuancun|image cache
tuxiangqingli|image recycle
tuxiangshuaxin|image refresh
tuxiangyanshe|image tint
tuxiangbiankuang|image border
tuxiangbiankuangyanse|border color
tuxiangbiankuangkuandu|border width
tuxiangyuanjiao|corner radius
tuxiangyinying|shadow
tuxiangyinyingyanse|shadow color
tuxiangyinyingkuandu|shadow size
zitimingcheng|font name
zitidaxiao|font size
zitidancu|font bold
zitixixie|font italic
zitixianxi|font underline
zitishanchu|font strike
zitiyanse|font color
zitijianju|letter spacing
zitihangju|line spacing
zitizidonghuanxing|auto wrap text
zitishuzihuanxing|single line
zitishuzixianzhi|ellipsize end
zitishuzhongjianzhi|ellipsize middle
zitishukaishizhi|ellipsize start
zitixianshi|text align
zitizuoyou|align left
zitizhongjian|align center
zitizuyou|align right
zitishangxia|align vertical top
zitizhongjianshuiping|align vertical center
zitixiaxia|align vertical bottom
bianjikongzhi|edit hint
bianjikongzhiyanse|hint color
bianjishuruziyuan|input type
bianjishuzifu|text filter
bianjishuzishuzi|number filter
bianjishuzimuzi|letter filter
bianjishuzifuhao|symbol filter
bianjizuidachangdu|max length
bianjizuidichangdu|min length
bianjizidongqingkong|auto space
bianjizidonghuanyuan|escape char
bianjidianji|edit click
bianjijiaodian|edit focus
bianjishijiao|edit blur
bianjishuru|text change
bianjishanchu|text clear
bianjifuzhi|copy text
bianjizhantie|paste text
bianjijianqie|cut text
bianjixuanzhong|select text
bianjiquanxuan|select all text
bianjichexiao|undo text
bianjichongzuo|redo text
bianjishuzhizhen|text watcher
bianjishuzhizhenjiankong|text watch event
bujukongzhi|layout margin
bujuneijianju|layout padding
bujuzuoyoubianju|margin left
bujuzuyoubianju|margin right
bujushangbianju|margin top
bujuxiabianju|margin bottom
bujuzuoyouneijianju|padding left
bujuzuyouneijianju|padding right
bujushangneijianju|padding top
bujuxianeijianju|padding bottom
bujukuangdu|layout width
bujugaodu|layout height
bujuzuida|match parent
bujuzuixiao|wrap content
bujuguding|fixed size
bujuxuanzhuan|layout gravity
bujuxianxingshuiping|horizontal gravity

============================== 接续上一段：Android 布局/控件 完整剩余词条 ==============================
 
bujushuzhi|vertical gravity
bujuzhongdui|center gravity
bujuzuodui|left gravity
bujuyoudui|right gravity
bujushangdui|top gravity
bujuxiadu|bottom gravity
bujujianju|layout spacing
bujushuipingjianju|horizontal spacing
bujushuzhijianju|vertical spacing
bujuxiansuo|layout visibility
bujuxianshi|visible
bujuyincang|invisible
bujuxiaoshi|gone
bujuhuanchong|layout cache
bujuchongxie|request layout
bujushuaxin|invalidate
bujuhuifu|restore state
bujubaocun|save state
 
============================== Android 触摸/手势/多点触控 全量词条 ==============================
 
chumoevent|MotionEvent
chumokaishi|ACTION_DOWN
chumoyidong|ACTION_MOVE
chumojieshu|ACTION_UP
chumoquxiao|ACTION_CANCEL
duodianchumo|multi touch
chumozhidian|pointer
zhidianshu|pointer count
zhidianweizhi|pointer position
chumox|x position
chumoy|y position
chumosuodu|touch slop
suodongjiance|fling detect
huadongsudu|scroll velocity
suofangshouzhi|scale gesture
xuanzhuanshouzhi|rotate gesture
shuangdian|double tap
changanyinshi|long press timeout
shouzhishibie|gesture detector
suofangjiance|scale detector
xuanzhuanjiance|rotate detector
yidongjiance|move detector
jieshujiance|up detector
 
============================== Android 动画高级 属性动画/帧动画/过渡动画 ==============================
 
shuxingdonghua|ValueAnimator
duixiangdonghua|ObjectAnimator
donghuajizu|AnimatorSet
zhenidonghua|FrameAnimation
guodudonghua|Transition
pingyiguodu|Slide
suofangguodu|Scale
toumingguodu|Fade
zhuanhuan guodu|Explode
donghuajiasudu|Interpolator
xianxingjiasu|LinearInterpolator
jianjiansudu|AccelerateInterpolator
jianmansudu|DecelerateInterpolator
jianjiankuaijianman|AccelerateDecelerateInterpolator
tanhuangsuodu|BounceInterpolator
huodanhuifu|OvershootInterpolator
huadonghuifu|AnticipateInterpolator
zhouqidonghua|repeat mode
chongfuquanbu|RESTART
fanzhuanchongfu|REVERSE
donghuakaishi|anim start
donghuajieshu|anim end
donghuachongfu|anim repeat
donghuajianxie|anim cancel
donghuajiankong|anim listener
donghuajincheng|anim progress
donghuazhuangtai|anim state
 
============================== Android 权限全套词条 ==============================
 
quanxianqingqiu|request permission
quanxianyanxuzhuangtai|permission status
quanxianyitong|granted
quanxianjujue|denied
quanxianjujuebuxianshi|never ask again
quanxianliebiao|permission list
quanxianzuhe|permission group
shoujiquanxian|phone permission
cunchuquanxian|storage permission
xiangcequanxian|gallery permission
shexiangtouquanxian|camera permission
luyinquanxian|audio record permission
wangluoquanxian|internet permission
dingweiquanxian|location permission
jinguangquanxian|bluetooth permission
hongwaiquanxian|infrared permission
xitongquanxian|system permission
fudongchuangquanxian|float window permission
xitongshezhiquanxian|setting permission
tongzhiquanxian|notification permission
baipingquanxian|background permission
zidongqidongquanxian|boot permission
 
============================== Android 通知全套词条 ==============================
 
tongzhi|Notification
tongzhiguanli|NotificationManager
tongzhileixing|notification type
tongzhiliebiao|notification list
tongzhixiaoxi|notification message
tongzhibiaoti|notification title
tongzhitubiao|notification icon
tongzhishengxiao|notification sound
tongzhizhendong|notification vibrate
tongzhichanfu|notification ongoing
tongzhikechexiao|cancelable
tongzhiquxiao|cancel notification
tongzhiqingkong|clear all notification
tongzhidaikuan|notification bar
tongzhikuai|notification channel
tongzhikuaichuangjian|create channel
tongzhikuai shanchu|delete channel
tongzhiyouxianji|notification priority
tongzhiyinshi|hide notification
tongzhixianshi|show notification
 
============================== Android 广播全套词条 ==============================
 
guangbojieshouqi|BroadcastReceiver
guangbozhuce|register receiver
guangbochexiao|unregister receiver
xitongguangbo|system broadcast
wangluobianhua|network change broadcast
dianliubianhua|battery change broadcast
pingmupingbi|screen off broadcast
pingmu jiliang|screen on broadcast
kaijiguangbo|boot complete broadcast
shijianbianhua|time change broadcast
dingqiguangbo|alarm broadcast
zidingyiguangbo|custom broadcast
fasongguangbo|send broadcast
fasongyouxian|send ordered broadcast
fasongguangbokuaisu|send sticky broadcast
 
============================== Android 服务全套词条 ==============================
 
houserverice|background service
qianjinservice|foreground service
servicechuangjian|onCreate service
servicestart|onStartCommand
servicetingzhi|onDestroy service
servicebengui|service crash
servicejianshi|service watch dog
serviceqidong|start service
serviceguanbi|stop service
servicebind|bind service
serviceunbind|unbind service
servicehuidiao|service callback
 
============================== Android 持久化全套扩充 ==============================
 
huanchunbiao|SP table
huanchunjian|SP key
huanchunzhi|SP value
baocunzhengshu|save int
baocunzifu|save string
baocunbuer|save boolean
baocunfudian|save float
duquzhengshu|get int
duquzifu|get string
duqubuer|get boolean
duqufudian|get float
huanchunshuxing|SP property
huanchunchongzhi|SP reset
huanchunquanqing|SP clear
huanchunshanchu|SP remove
 
============================== 安卓本地数据库SQLite全套扩充 ==============================
 
shujuku chuangjian|create database
shujuku guanbi|close database
shujuku dakai|open database
shujuku youxiao|database valid
shujuku cuowu|database error
shujuku rizhi|database log
biao chuangjian|create table
biao shanchu|drop table
biao xiugai|alter table
lie tianjia|add column
lie shanchu|drop column
lie xiugai|modify column
suoyin chuangjian|create index
suoyin shanchu|drop index
weiyiyueshu|unique constraint
feikongyueshu|not null constraint
morenzhiyueshu|default constraint
waijianyueshu|foreign key constraint
zhujianyueshu|primary key constraint
zengliangzhujian|auto increment
zidongzengjia|auto increase
zidongjianshao|auto decrease
 
============================== 算法全套超量词条（面试/竞赛/工程全覆盖） ==============================
 
sousuo|search
paixu|sort
fenzhi|divide conquer
huotu|greedy
dongtaituihua|dp
beibao|knapsack
erfenchazhao|binary search
sanfenchazhao|ternary search
kuaisupaixu|quick sort
maopaixu|bubble sort
guibingpaixu|merge sort
duipaixu|heap sort
charupaixu|insert sort
xuanzepaixu|select sort
xitongpaixu|system sort
jishupaixu|count sort
tongpaixu|bucket sort
jishupai|radix sort
tuxing suanfa|graph algorithm
tu bianli|graph traverse
shenduyouxian|dfs
guangduyouxian|bfs
zui duanlu|shortest path
floyd|floyd algorithm
dijkstra|dijkstra
spfa|spfa
bellmanford|bellman ford
zui xiao shengshu|minimum spanning tree
kruskal|kruskal
prim|prim
tuopo paixu|topological sort
erchashu|binary tree
erchashu bianli|tree traverse
xianxu|pre order
zhongxu|in order
houxu|post order
cengxu|level order
erchasousuoshu|BST
pinghengerchashu|AVL tree
hongheishu|red black tree
shu gen|tree root
shu jiedian|tree node
shu zuojiedian|left node
shu youjiedian|right node
shu fujiedian|parent node
shu shenshu|tree depth
shu gaodu|tree height
shu jiedian shu|node count
shu yezi jiedian|leaf node
hash suanfa|hash algorithm
hash chongtu|hash collision
hash chongtu jiejue|resolve collision
xianxingtanzhi|linear probe
ercitanzhi|quadratic probe
lianbiao jiejue|chain resolve
 
============================== 后端Java全套高级词条 ==============================
 
chunxu|serializable
feichunxu|transient
duixiangchuanbo|object clone
shengmingzhouqi|bean lifecycle
danli moshi|singleton mode
gongchang moshi|factory mode
daili moshi|proxy mode
guanchazhe moshi|observer mode
zhuangshi moshi|decorator mode
celue moshi|strategy mode
moshi guilv|design pattern rule
chongzai|overload
chongxie|override
yincang|hide
leixing zhuanhuan|type cast
anquan zhuanhuan|safe cast
bu anquan zhuanhuan|unsafe cast
jingtai leixing|static type
dongtai leixing|dynamic type
jingtai bianli|static block
jingtai fangfa|static method
jingtai ziduan|static field
shilishu xing|instance property
leixing panduan|type check
shili panduan|instanceof judge
 
============================== 并发超全补齐词条 ==============================
 
xiancheng youxianji|thread priority
xiancheng zu|thread group
xiancheng id|thread id
xiancheng mingzi|thread name
xiancheng zhuangtai|thread state
xinjian|new
keyunxing|runnable
yunxingzhong|running
dengdaizhong|waiting
